DATE, EX_NUM, m, n, t, ERROR_UXY, ERROR_VXY, ERROR_DXY, MEAN_METHOD, BOOL_ALPHA_THETA, LOW_RANK_APPROX_METHOD, LRA_ITE, APF_METHOD, APF_ITE, error_min, error_max, SUBRESULTANT_FORMAT, RANK_REVEALING_METRIC 
22-Jun-2017 23:16:43,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:16:45,4,10,12,8,7.779735e-11,6.241770e-11,9.673161e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:16:46,2,13,11,8,1.248811e-02,5.717421e-07,3.328491e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:16:48,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:16:52,4,10,12,8,7.779735e-11,6.241770e-11,9.673161e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:16:52,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:16:54,2,13,11,8,1.248811e-02,5.717421e-07,3.328491e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:18:30,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:18:31,4,10,12,8,7.779735e-11,6.241770e-11,9.673161e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:18:32,2,13,11,8,1.248811e-02,5.717421e-07,3.328491e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:18:34,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:18:38,4,10,12,8,7.779735e-11,6.241770e-11,9.673161e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:18:39,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:18:40,2,13,11,8,1.248811e-02,5.717421e-07,3.328491e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:19:21,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:19:23,4,10,12,8,7.779735e-11,6.241770e-11,9.673161e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:19:24,2,13,11,8,1.248811e-02,5.717421e-07,3.328491e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:19:26,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:19:29,4,10,12,8,7.779735e-11,6.241770e-11,9.673161e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:19:30,1,7,7,4,1.826022e-10,1.332081e-10,1.565221e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:19:31,2,13,11,8,1.248811e-02,5.717421e-07,3.328491e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:19:34,1,7,7,4,3.431025e-11,3.539234e-11,1.291866e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:19:36,4,10,12,8,7.779735e-11,6.241770e-11,9.673161e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:19:39,1,7,7,4,3.431025e-11,3.539234e-11,1.291866e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Diagonals 
22-Jun-2017 23:19:40,2,13,11,8,1.248811e-02,5.717421e-07,3.328491e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:19:42,4,10,12,8,1.351649e-11,2.519132e-11,1.198820e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:19:44,1,7,7,4,3.431025e-11,3.539234e-11,1.291866e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,Minimum Singular Values 
22-Jun-2017 23:19:47,2,13,11,8,5.010986e-10,3.582473e-10,3.276502e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:19:48,1,7,7,4,1.825980e-10,1.332041e-10,1.565176e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Norms 
22-Jun-2017 23:19:48,3,20,21,16,1.590231e-08,1.793815e-08,2.871979e-09,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:19:49,4,10,12,8,1.351649e-11,2.519132e-11,1.198820e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Diagonals 
22-Jun-2017 23:19:53,1,7,7,4,1.825980e-10,1.332041e-10,1.565176e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Diagonals 
